year,month,trades,stocks,total_deployed
2012,3,22,"ADSL, AHLUCONT, AJMERA, APCOTEXIND, COALINDIA, FIEMIND, FSL, GESHIP, GODFRYPHLP, JAMNAAUTO, JKTYRE, KARURVYSYA, LTFOODS, LUMAXTECH, NATIONALUM, NMDC, PENIND, PERSISTENT, TIMETECHNO, TVSMOTOR, USHAMART",13310
2012,4,1,TVSMOTOR,6655
2012,5,1,FIEMIND,6655
2012,6,1,LTFOODS,6655
2012,7,1,ECLERX,6655
2012,8,1,PENIND,6655
2012,9,2,"NATIONALUM, TIMETECHNO",6655
2012,11,14,"ADANIPORTS, ADSL, APLAPOLLO, ECLERX, HINDCOPPER, JAMNAAUTO, NATIONALUM, PENIND, SUNTECK, TDPOWERSYS, TIMETECHNO, TVSMOTOR, VESUVIUS, WELCORP",13310
2012,12,1,ADSL,6655
2013,1,1,HINDCOPPER,7320
2013,2,1,JAMNAAUTO,7320
2013,3,1,NMDC,7320
2013,4,3,"COALINDIA, LUMAXIND, PENIND",7321
2013,5,1,GESHIP,7320
2013,6,1,LUMAXTECH,7320
2013,7,2,"NATIONALUM, OBEROIRLTY",7320
2013,8,1,HINDZINC,7320
2013,9,1,APLAPOLLO,7320
2013,10,2,"PENIND, REDINGTON",7320
2013,11,1,AJMERA,7320
2013,12,1,KARURVYSYA,7320
2014,1,1,TIPSMUSIC,8053
2014,2,1,SUNTECK,8053
2014,3,1,CEMPRO,8053
2014,5,5,"ADSL, AJMERA, LUMAXIND, SUNTECK, TIPSMUSIC",16105
2014,6,2,"GODFRYPHLP, LUMAXIND",8053
2014,7,3,"COFORGE, GODFRYPHLP, TIPSMUSIC",8053
2014,9,5,"ANANTRAJ, COFORGE, GODFRYPHLP, SUNTECK, TIPSMUSIC",16105
2014,10,1,USHAMART,8053
2014,12,8,"ANANTRAJ, COFORGE, GODFRYPHLP, HINDCOPPER, NMDC, SUNTECK, USHAMART, WELCORP",16105
2015,1,2,"COFORGE, USHAMART",8858
2015,2,1,COFORGE,8858
2015,3,1,GODFRYPHLP,8858
2015,4,2,"GRAVITA, NATIONALUM",8858
2015,5,1,SOBHA,8858
2015,6,1,GRAVITA,8858
2015,7,2,"GODFRYPHLP, SOBHA",8858
2015,8,2,"HINDCOPPER, MAHABANK",8858
2015,9,1,NATIONALUM,8858
2015,10,2,"PENIND, USHAMART",8858
2015,11,1,PENIND,8858
2015,12,1,NMDC,8858
2016,1,1,USHAMART,9744
2016,2,1,MCX,9744
2016,3,1,OBEROIRLTY,9744
2016,5,25,"ADANIPORTS, APOLLOHOSP, COALINDIA, COFORGE, GESHIP, GODFRYPHLP, GRAVITA, HINDCOPPER, INDRAMEDCO, JKTYRE, MAHABANK, MAYURUNIQ, MCX, MPSLTD, PENIND, REDINGTON, RSYSTEMS, SOBHA, SOLARINDS, SUNTECK, TDPOWERSYS, TIMETECHNO, VISHNU, WELCORP",19487
2016,6,1,TDPOWERSYS,9744
2016,7,1,SOLARINDS,9744
2016,8,1,WELCORP,9744
2016,9,1,COFORGE,9744
2016,10,1,PGIL,9744
2016,11,1,WELCORP,9744
2016,12,1,PGIL,9744
2017,1,1,APOLLOHOSP,10718
2017,2,1,PENIND,10718
2017,3,2,"ECLERX, PENIND",10718
2017,4,1,PERSISTENT,10718
2017,5,1,ECLERX,10718
2017,6,1,MCX,10718
2017,7,1,ECLERX,10718
2017,8,1,ADSL,10718
2017,9,1,RSYSTEMS,10718
2017,10,1,GODFRYPHLP,10718
2017,11,1,APOLLOHOSP,10718
2017,12,1,MCX,10718
2018,1,1,MAHABANK,11790
2018,2,1,MCX,11790
2018,3,1,PGIL,11790
2018,4,1,MAHABANK,11790
2018,5,1,PGIL,11790
2018,6,2,"FIEMIND, TVSMOTOR",11790
2018,7,1,INDRAMEDCO,11790
2018,8,1,APOLLOHOSP,11790
2018,9,1,PENIND,11790
2018,10,2,"AHLUCONT, GESHIP",11790
2018,11,5,"AJMERA, HINDCOPPER, JAMNAAUTO, VESUVIUS, VISHNU",11790
2018,12,1,FIEMIND,11790
2019,1,1,MAYURUNIQ,12969
2019,2,1,BLS,12969
2019,3,2,"FSL, MPSLTD",12969
2019,4,2,"GESHIP, TVSMOTOR",12969
2019,5,2,"FSL, SHRIPISTON",12969
2019,6,1,HINDZINC,12969
2019,7,2,"ANANTRAJ, HINDCOPPER",12969
2019,8,2,"LUMAXIND, TVSMOTOR",12969
2019,9,1,MAHABANK,12969
2019,10,1,LUMAXTECH,12969
2019,11,1,KARURVYSYA,12969
2019,12,1,AJMERA,12969
2020,1,1,CEMPRO,14266
2020,2,1,BLS,14266
2020,3,1,HINDZINC,14266
2020,4,4,"COALINDIA, LTFOODS, MPSLTD, NMDC",14266
2020,5,1,SOLARINDS,14266
2020,6,2,"MAHABANK, MPSLTD",14266
2020,7,1,COALINDIA,14266
2020,8,2,"NATIONALUM, USHAMART",14266
2020,9,17,"AJMERA, BAJFINANCE, COALINDIA, GESHIP, GODFRYPHLP, HINDCOPPER, JKTYRE, KARURVYSYA, NATIONALUM, NMDC, OBEROIRLTY, PENIND, SHRIPISTON, SOBHA, TDPOWERSYS, TIMETECHNO, VESUVIUS",14266
2020,10,15,"AJMERA, COALINDIA, GESHIP, GODFRYPHLP, GRAVITA, HINDCOPPER, KARURVYSYA, MAHABANK, NATIONALUM, NMDC, PENIND, SOLARINDS, TDPOWERSYS, TIMETECHNO, VESUVIUS",14266
2020,12,1,GODFRYPHLP,28531
2021,2,1,GODFRYPHLP,31384
2021,3,1,GODFRYPHLP,15692
2021,5,5,"AHLUCONT, BLS, GODFRYPHLP, MCX, SUNTECK",31384
2021,6,1,MCX,15692
2021,7,59,"ADANIPORTS, ADSL, AHLUCONT, AJMERA, ANANTRAJ, APCOTEXIND, APLAPOLLO, APOLLOHOSP, BAJFINANCE, BIRET, BLS, BSE, CEMPRO, CHOLAFIN, COALINDIA, COFORGE, ECLERX, FIEMIND, FSL, GESHIP, GODFRYPHLP, GRAVITA, HINDCOPPER, HINDZINC, HOMEFIRST, INDRAMEDCO, JAMNAAUTO, JKTYRE, KARURVYSYA, LODHA, LTFOODS, LUMAXIND, LUMAXTECH, MAHABANK, MAYURUNIQ, MCX, MPSLTD, NATIONALUM, NMDC, OBEROIRLTY, PENIND, PERSISTENT, PGIL, RAILTEL, REDINGTON, RSYSTEMS, SBCL, SHRIPISTON, SOBHA, SOLARINDS, SUNTECK, TDPOWERSYS, TIMETECHNO, TIPSMUSIC, TVSMOTOR, USHAMART, VESUVIUS, VISHNU, WELCORP",15692
2021,8,6,"KARURVYSYA, LUMAXIND, MAHABANK, MCX, TVSMOTOR, WELCORP",15692
2021,9,8,"CEMPRO, HINDCOPPER, KARURVYSYA, LUMAXIND, LUMAXTECH, MAHABANK, NMDC, TVSMOTOR",15692
2021,11,14,"ADANIPORTS, GESHIP, HINDCOPPER, INDRAMEDCO, KARURVYSYA, LTFOODS, LUMAXIND, LUMAXTECH, MAHABANK, MAYURUNIQ, NMDC, TIMETECHNO, VESUVIUS, WELCORP",31384
2021,12,1,LUMAXIND,15692
2022,2,14,"CEMPRO, FSL, GESHIP, HINDCOPPER, INDRAMEDCO, JKTYRE, LTFOODS, LUMAXIND, MAHABANK, MCX, NMDC, RAILTEL, SHRIPISTON, VESUVIUS",34523
2022,3,2,"FSL, LTFOODS",17261
2022,4,1,LUMAXIND,17261
2022,5,1,COFORGE,17261
2022,6,3,"FSL, INDRAMEDCO, SOBHA",17261
2022,7,3,"AJMERA, NMDC, OBEROIRLTY",17261
2022,8,1,FSL,17261
2022,9,1,APOLLOHOSP,17261
2022,10,1,NMDC,17261
2022,11,1,SUNTECK,17261
2022,12,1,BIRET,17261
2023,1,1,ADSL,18987
2023,2,1,TIMETECHNO,18987
2023,3,2,"LODHA, WELCORP",18988
2023,4,3,"BSE, LODHA, TIMETECHNO",18987
2023,5,12,"ADANIPORTS, ADSL, APLAPOLLO, BIRET, BSE, HOMEFIRST, JAMNAAUTO, NMDC, SOBHA, SOLARINDS, SUNTECK, TIMETECHNO",18987
2023,6,7,"BIRET, GODFRYPHLP, JAMNAAUTO, NMDC, SOBHA, SOLARINDS, SUNTECK",18988
2023,7,1,SOBHA,18987
2023,8,1,BIRET,18987
2023,9,1,BIRET,18987
2023,11,6,"APCOTEXIND, BIRET, FIEMIND, HINDZINC, REDINGTON, SBCL",37975
2024,1,2,"APCOTEXIND, BIRET",39874
2024,2,1,APCOTEXIND,20886
2024,3,1,BAJFINANCE,20886
2024,4,1,SBCL,20886
2024,5,1,COFORGE,20886
2024,6,1,BAJFINANCE,20886
2024,7,5,"APCOTEXIND, APLAPOLLO, BAJFINANCE, ECLERX, KALAMANDIR",20886
2024,8,1,APLAPOLLO,20886
2024,9,6,"APCOTEXIND, JAMNAAUTO, KALAMANDIR, MEDANTA, REDINGTON, RSYSTEMS",20886
2024,10,21,"AHLUCONT, APCOTEXIND, APLAPOLLO, BAJFINANCE, CHOLAFIN, COALINDIA, HINDCOPPER, JAMNAAUTO, JKTYRE, KALAMANDIR, LODHA, LUMAXIND, MAHABANK, MEDANTA, NMDC, RAILTEL, REDINGTON, RRKABEL, RSYSTEMS, SOBHA",20886
2024,11,1,MAHABANK,20886
2024,12,1,JAMNAAUTO,20886
2025,1,1,RRKABEL,22975
2025,2,3,"JAMNAAUTO, MAHABANK, SOBHA",22975
2025,3,3,"AHLUCONT, SOLARINDS, USHAMART",22975
2025,4,3,"MAHABANK, RSYSTEMS, SUNTECK",22975
2025,5,2,"APCOTEXIND, MAYURUNIQ",22975
2025,6,1,SBCL,22975
2025,7,2,"JSLL, NETWEB",22975
2025,9,22,"ADSL, ANANTRAJ, BLS, CHOLAFIN, GRAVITA, HINDCOPPER, HINDZINC, INDGN, JSLL, LODHA, MAYURUNIQ, MPSLTD, OBEROIRLTY, PERSISTENT, PGIL, PREMIERENE, RAILTEL, RRKABEL, SBCL, STYLAMIND, SUNTECK, TIPSMUSIC",45950
2025,10,20,"ADSL, BLS, BSE, COFORGE, ECOSMOBLTY, FSL, GRAVITA, INDGN, JSLL, LLOYDSME, LODHA, LTFOODS, MAYURUNIQ, MPSLTD, OBEROIRLTY, PERSISTENT, PGIL, PREMIERENE, STYLAMIND, TIPSMUSIC",22975
2025,11,1,BLS,22975
2025,12,1,BLS,22975
2026,1,1,TIPSMUSIC,25272
2026,2,3,"INDIASHLTR, MPSLTD, PREMIERENE",25272
2026,3,1,AADHARHFC,25272
2026,4,1,INTERARCH,25272
2026,5,1,CHOICEIN,25272
