year,month,trades,stocks,total_deployed
2010,2,15,"AHLUCONT, CEMPRO, COFORGE, ECLERX, FSL, HINDCOPPER, HINDZINC, INDRAMEDCO, KARURVYSYA, NATIONALUM, PGIL, RSYSTEMS, SOLARINDS, TIMETECHNO, USHAMART",11000
2010,3,15,"AHLUCONT, CEMPRO, COFORGE, ECLERX, FSL, HINDCOPPER, HINDZINC, INDRAMEDCO, KARURVYSYA, NATIONALUM, PGIL, RSYSTEMS, SOLARINDS, TIMETECHNO, USHAMART",5500
2010,5,16,"AHLUCONT, CEMPRO, COFORGE, ECLERX, FSL, HINDCOPPER, HINDZINC, INDRAMEDCO, KARURVYSYA, NATIONALUM, PERSISTENT, PGIL, RSYSTEMS, SOLARINDS, TIMETECHNO, USHAMART",11000
2010,6,16,"AHLUCONT, CEMPRO, COFORGE, ECLERX, FSL, HINDCOPPER, HINDZINC, INDRAMEDCO, KARURVYSYA, NATIONALUM, PERSISTENT, PGIL, RSYSTEMS, SOLARINDS, TIMETECHNO, USHAMART",5500
2010,7,16,"AHLUCONT, CEMPRO, COFORGE, ECLERX, FSL, HINDCOPPER, HINDZINC, INDRAMEDCO, KARURVYSYA, NATIONALUM, PERSISTENT, PGIL, RSYSTEMS, SOLARINDS, TIMETECHNO, USHAMART",5500
2010,8,16,"AHLUCONT, CEMPRO, COFORGE, ECLERX, FSL, HINDCOPPER, HINDZINC, INDRAMEDCO, KARURVYSYA, NATIONALUM, PERSISTENT, PGIL, RSYSTEMS, SOLARINDS, TIMETECHNO, USHAMART",5500
2010,9,16,"AHLUCONT, CEMPRO, COFORGE, ECLERX, FSL, HINDCOPPER, HINDZINC, INDRAMEDCO, KARURVYSYA, NATIONALUM, PERSISTENT, PGIL, RSYSTEMS, SOLARINDS, TIMETECHNO, USHAMART",5500
2010,10,6,"AHLUCONT, FSL, HINDCOPPER, INDRAMEDCO, NATIONALUM, PGIL",5500
2010,12,8,"AHLUCONT, CEMPRO, FSL, HINDCOPPER, INDRAMEDCO, NATIONALUM, PGIL, USHAMART",11000
2011,1,1,PGIL,6050
2011,2,1,PGIL,6050
2011,3,1,PGIL,6050
2011,4,1,AHLUCONT,6050
2011,5,1,INDRAMEDCO,6050
2011,6,1,FSL,6050
2011,7,2,"NATIONALUM, PERSISTENT",6050
2011,8,1,RSYSTEMS,6050
2011,9,2,"PERSISTENT, USHAMART",6050
2011,10,1,KARURVYSYA,6050
2011,11,1,OBEROIRLTY,6050
2011,12,1,OBEROIRLTY,6050
2012,1,1,CEMPRO,6655
2012,3,8,"AHLUCONT, FSL, KARURVYSYA, NATIONALUM, PENIND, PERSISTENT, TIMETECHNO, USHAMART",13310
2012,5,8,"AHLUCONT, ECLERX, FSL, HINDZINC, INDRAMEDCO, PENIND, TIMETECHNO, USHAMART",13310
2012,6,1,ECLERX,6655
2012,7,1,ECLERX,6655
2012,8,1,PENIND,6655
2012,9,2,"NATIONALUM, TIMETECHNO",6655
2012,11,5,"ECLERX, HINDCOPPER, NATIONALUM, PENIND, TIMETECHNO",13310
2013,1,1,HINDCOPPER,13976
2013,3,13,"CEMPRO, COFORGE, ECLERX, FSL, GRAVITA, HINDCOPPER, HINDZINC, INDRAMEDCO, MCX, NATIONALUM, PENIND, TIMETECHNO, USHAMART",14641
2013,4,1,PENIND,7320
2013,5,1,TIMETECHNO,7320
2013,6,1,MCX,7320
2013,7,2,"NATIONALUM, OBEROIRLTY",7320
2013,8,1,HINDZINC,7320
2013,9,1,INDRAMEDCO,7320
2013,10,1,PENIND,7320
2013,11,1,PENIND,7320
2013,12,1,KARURVYSYA,7320
2014,1,1,SOLARINDS,8053
2014,3,8,"CEMPRO, HINDCOPPER, KARURVYSYA, MCX, OBEROIRLTY, PENIND, SOLARINDS, TIMETECHNO",16105
2014,5,19,"AHLUCONT, CEMPRO, COFORGE, ECLERX, FSL, GRAVITA, HINDCOPPER, HINDZINC, INDRAMEDCO, KARURVYSYA, MCX, NATIONALUM, OBEROIRLTY, PENIND, PERSISTENT, RSYSTEMS, SOLARINDS, TIMETECHNO, USHAMART",15300
2014,6,20,"AHLUCONT, CEMPRO, COFORGE, ECLERX, FSL, GRAVITA, HINDCOPPER, HINDZINC, INDRAMEDCO, KARURVYSYA, MCX, NATIONALUM, OBEROIRLTY, PENIND, PERSISTENT, PGIL, RSYSTEMS, SOLARINDS, TIMETECHNO, USHAMART",8858
2014,7,1,COFORGE,8053
2014,9,1,COFORGE,16105
2014,10,1,USHAMART,8053
2014,12,3,"COFORGE, HINDCOPPER, USHAMART",16105
2015,1,2,"COFORGE, USHAMART",8858
2015,2,1,COFORGE,8858
2015,3,8,"COFORGE, FSL, GRAVITA, HINDCOPPER, HINDZINC, NATIONALUM, TIMETECHNO, USHAMART",8858
2015,4,2,"GRAVITA, NATIONALUM",8858
2015,5,1,TIMETECHNO,8858
2015,6,1,GRAVITA,8858
2015,7,1,PERSISTENT,8858
2015,8,1,HINDCOPPER,8858
2015,9,1,NATIONALUM,8858
2015,10,2,"PENIND, USHAMART",8858
2015,11,1,PENIND,8858
2015,12,1,MCX,8858
2016,1,1,USHAMART,9744
2016,2,1,MCX,9744
2016,3,1,OBEROIRLTY,9744
2016,5,10,"COFORGE, GRAVITA, HINDCOPPER, INDRAMEDCO, MCX, PENIND, RSYSTEMS, SOLARINDS, TIMETECHNO, VISHNU",19487
2016,6,1,GRAVITA,9744
2016,7,1,SOLARINDS,9744
2016,8,1,SOLARINDS,9744
2016,9,1,COFORGE,9744
2016,10,1,PGIL,9744
2016,11,1,COFORGE,9744
2016,12,1,PGIL,9744
2017,1,1,PENIND,10718
2017,2,1,PENIND,10718
2017,3,2,"ECLERX, PENIND",10718
2017,4,1,PERSISTENT,10718
2017,5,1,ECLERX,10718
2017,6,1,MCX,10718
2017,7,1,ECLERX,10718
2017,8,8,"CEMPRO, ECLERX, HINDCOPPER, INDRAMEDCO, MCX, PGIL, RSYSTEMS, VISHNU",10718
2017,9,1,RSYSTEMS,10718
2017,10,1,HINDCOPPER,10718
2017,11,4,"BSE, INDRAMEDCO, KARURVYSYA, MCX",10718
2017,12,1,MCX,10718
2018,1,1,MCX,11790
2018,2,1,MCX,11790
2018,3,1,PGIL,11790
2018,4,2,"BSE, PGIL",11790
2018,5,1,PGIL,11790
2018,6,1,HINDZINC,11790
2018,7,1,INDRAMEDCO,11790
2018,8,1,PENIND,11790
2018,9,1,PENIND,11790
2018,10,1,AHLUCONT,11790
2018,11,2,"HINDCOPPER, VISHNU",11790
2018,12,1,ECLERX,11790
2019,1,1,PERSISTENT,12969
2019,2,1,BLS,12969
2019,3,1,FSL,12969
2019,4,1,SHRIPISTON,12969
2019,5,2,"FSL, SHRIPISTON",12969
2019,6,1,HINDZINC,12969
2019,7,1,HINDCOPPER,12969
2019,8,1,VISHNU,12969
2019,9,2,"NATIONALUM, VISHNU",12969
2019,10,3,"BLS, ECLERX, GRAVITA",12969
2019,11,1,KARURVYSYA,12969
2019,12,1,BLS,12969
2020,1,1,CEMPRO,14266
2020,2,1,BLS,14266
2020,3,1,HINDZINC,14266
2020,4,1,INDRAMEDCO,14266
2020,5,1,SOLARINDS,14266
2020,6,1,PENIND,14266
2020,7,11,"CEMPRO, ECLERX, KARURVYSYA, NATIONALUM, OBEROIRLTY, PENIND, PGIL, SHRIPISTON, SOLARINDS, TIMETECHNO, USHAMART",14266
2020,8,2,"NATIONALUM, USHAMART",14266
