year,month,trades,stocks,total_deployed
2010,11,1,GODFRYPHLP,60500
2010,12,1,GODFRYPHLP,5500
2011,1,1,ANANTRAJ,6050
2011,2,1,PGIL,6050
2011,3,1,PGIL,6050
2011,5,1,KARURVYSYA,12100
2011,6,1,ANANTRAJ,6050
2011,7,1,ANANTRAJ,6050
2011,8,1,RSYSTEMS,6050
2011,9,2,"PERSISTENT, USHAMART",6050
2011,10,1,FSL,6050
2011,11,2,"HINDZINC, JKTYRE",6050
2011,12,2,"GESHIP, OBEROIRLTY",6050
2012,1,3,"CHOLAFIN, FSL, GESHIP",6655
2012,3,1,PENIND,13310
2012,4,1,TVSMOTOR,6655
2012,5,1,FIEMIND,6655
2012,6,1,ECLERX,6655
2012,7,1,ECLERX,6655
2012,9,2,"NATIONALUM, TIMETECHNO",13310
2012,11,1,HINDCOPPER,13310
2013,1,1,HINDCOPPER,13976
2013,2,1,GESHIP,7320
2013,3,1,GESHIP,7320
2013,4,1,PENIND,7320
2013,5,1,GESHIP,7320
2013,6,1,SOLARINDS,7320
2013,7,2,"NATIONALUM, OBEROIRLTY",7320
2013,8,1,HINDZINC,7320
2013,9,1,INDRAMEDCO,7320
2013,10,1,PENIND,7320
2013,11,1,PENIND,7320
2013,12,1,PENIND,7320
2014,2,10,"ANANTRAJ, CHOLAFIN, HINDCOPPER, HINDZINC, KARURVYSYA, NATIONALUM, OBEROIRLTY, PENIND, SOLARINDS, TIMETECHNO",16105
2014,5,1,HINDZINC,24158
2014,9,5,"ANANTRAJ, GODFRYPHLP, HINDCOPPER, OBEROIRLTY, USHAMART",27220
2014,10,1,USHAMART,13043
2014,12,1,USHAMART,16105
2015,1,1,COFORGE,8858
2015,3,1,GODFRYPHLP,17716
2015,4,2,"GRAVITA, NATIONALUM",8858
2015,5,1,COFORGE,8858
2015,6,1,COFORGE,8858
2015,7,1,PERSISTENT,8858
2015,8,1,NATIONALUM,8858
2015,9,1,NATIONALUM,8858
2015,10,2,"PENIND, USHAMART",8858
2015,11,1,MAHABANK,8858
2015,12,1,MCX,8858
2016,1,1,USHAMART,9744
2016,2,1,MCX,9744
2016,3,1,OBEROIRLTY,9744
2016,6,13,"COFORGE, GESHIP, GRAVITA, HINDCOPPER, INDRAMEDCO, JKTYRE, MAHABANK, PENIND, RSYSTEMS, SOLARINDS, TIMETECHNO, USHAMART",29231
2016,7,1,SOLARINDS,9744
2016,8,1,SOLARINDS,9744
2016,9,1,COFORGE,9744
2016,10,1,PGIL,9744
2016,11,1,MAHABANK,9744
2016,12,1,PGIL,9744
2017,1,1,MAYURUNIQ,10718
2017,3,1,ECLERX,21436
2017,4,1,PERSISTENT,10718
2017,5,1,ECLERX,10718
2017,6,1,MCX,10718
2017,7,1,ECLERX,10718
2017,8,1,MAYURUNIQ,10718
2017,9,1,RSYSTEMS,10718
2017,10,1,HINDCOPPER,10718
2017,12,1,MCX,21436
2018,1,1,MAHABANK,11790
2018,2,1,MCX,11790
2018,3,1,PGIL,11790
2018,4,1,MAHABANK,11790
2018,5,1,ANANTRAJ,11790
2018,6,1,TVSMOTOR,11790
2018,7,1,INDRAMEDCO,11790
2018,8,1,TVSMOTOR,11790
2018,9,1,ECLERX,11790
2018,10,1,ECLERX,11790
2018,11,3,"HINDCOPPER, JAMNAAUTO, VISHNU",11790
2018,12,1,KARURVYSYA,11790
2019,1,1,FIEMIND,12969
2019,2,1,BLS,12969
2019,3,1,FSL,12969
2019,4,2,"GESHIP, TVSMOTOR",12969
2019,5,1,TVSMOTOR,12969
2019,6,1,HINDZINC,12969
2019,7,1,HINDCOPPER,12969
2019,8,1,TVSMOTOR,12969
2019,9,1,MAHABANK,12969
2019,10,2,"ECLERX, FIEMIND",12969
2019,11,1,BLS,12969
2019,12,1,BLS,12969
2020,2,18,"ANANTRAJ, BLS, ECLERX, FSL, GESHIP, HINDCOPPER, HINDZINC, JAMNAAUTO, JKTYRE, KARURVYSYA, MAHABANK, NATIONALUM, OBEROIRLTY, PENIND, PGIL, TIMETECHNO, USHAMART, VISHNU",28531
2020,3,1,HINDZINC,14266
2020,4,2,"GESHIP, INDRAMEDCO",14266
2020,5,1,SOLARINDS,14266
2020,6,1,PENIND,14266
2020,8,4,"GODFRYPHLP, JKTYRE, OBEROIRLTY, PENIND",28531
2020,10,9,"GESHIP, GODFRYPHLP, GRAVITA, HINDCOPPER, KARURVYSYA, MAHABANK, NATIONALUM, PENIND, TIMETECHNO",28531
2021,1,1,GODFRYPHLP,44223
2021,3,1,GODFRYPHLP,31384
2021,5,1,GODFRYPHLP,31384
2021,8,1,MCX,47076
2021,11,7,"GESHIP, HINDCOPPER, INDRAMEDCO, KARURVYSYA, MAHABANK, MAYURUNIQ, TIMETECHNO",47076
2022,1,1,CHOLAFIN,32954
2022,3,1,FSL,34523
2022,4,3,"INDRAMEDCO, MAHABANK, MAYURUNIQ",17261
2022,5,1,COFORGE,17261
2022,6,2,"FSL, INDRAMEDCO",17261
2022,7,1,OBEROIRLTY,17261
2022,9,10,"COFORGE, ECLERX, FSL, HINDCOPPER, HINDZINC, INDRAMEDCO, MCX, NATIONALUM, PERSISTENT, RSYSTEMS",34523
2022,12,3,"NATIONALUM, TIMETECHNO, VISHNU",51784
2023,1,1,ECLERX,18987
2023,2,1,TIMETECHNO,18987
2023,3,1,LODHA,18987
2023,4,3,"BSE, LODHA, TIMETECHNO",18987
2023,6,3,"GODFRYPHLP, JAMNAAUTO, SOLARINDS",37975
2023,7,1,SOLARINDS,18987
2023,10,1,HINDZINC,56962
2024,1,1,VISHNU,58861
2024,2,1,VISHNU,20886
2024,3,1,BAJFINANCE,20886
2024,4,1,SBCL,20886
2024,5,1,RSYSTEMS,20886
2024,6,1,HOMEFIRST,20886
2024,8,3,"JKTYRE, SBCL, USHAMART",41772
2024,10,8,"BAJFINANCE, CHOLAFIN, HINDCOPPER, JAMNAAUTO, JKTYRE, LODHA, MAHABANK, RSYSTEMS",41772
2024,11,2,"CARYSIL, MAHABANK",20886
2024,12,1,JAMNAAUTO,20886
2025,1,1,RRKABEL,22975
2025,2,2,"JAMNAAUTO, MAHABANK",22975
2025,3,2,"SOLARINDS, USHAMART",22975
2025,4,2,"MAHABANK, RSYSTEMS",22975
2025,5,1,MAYURUNIQ,22975
2025,7,12,"ANANTRAJ, BLS, FSL, GESHIP, GRAVITA, HINDZINC, JKTYRE, LODHA, NATIONALUM, OBEROIRLTY, PERSISTENT, SBCL",45950
2025,10,10,"BLS, BSE, COFORGE, FSL, GRAVITA, LODHA, MAYURUNIQ, OBEROIRLTY, PERSISTENT, PGIL",68925
2025,11,1,BLS,22975
2025,12,1,BLS,22975
2026,1,1,HOMEFIRST,25272
2026,2,2,"INDIASHLTR, PREMIERENE",25272
2026,3,1,AADHARHFC,25272
2026,4,2,"ECLERX, IKS",25272
2026,5,1,CHOICEIN,25272
