List,Stocks,Invested,Timed ₹,Timed XIRR%,Sharpe,Sortino,MaxDD%,SIP ₹,SIP XIRR%
top10,10,1066135.66,5241270.940372997,34.114812552140805,0.7960018670855709,1.2765624878160837,-33.6757989336554,4284857.714996566,30.004614490043817
top30,29,1066135.66,6431463.876003175,38.280957362747856,1.0065603273913668,1.3010712122282586,-39.52597144141885,7019793.758007615,40.06328938793538
top50,47,1066135.66,6249165.854451181,37.695629129251245,1.0733532188206854,1.3589443901415896,-45.69493554848345,6636042.361199325,38.91845810670503
top100,90,1066135.66,6198711.138582185,37.53061607988359,1.1841392767159813,1.481001150752928,-42.428634328118484,6502445.032718784,38.50440469986028
strong_buy,76,1066135.66,6011320.629603914,36.905779457109034,1.1358835478385128,1.4236167058422038,-39.495988927308126,6481079.685938834,38.43740356165694
buy_plus,146,1066135.66,6737083.248074772,39.22614173725834,1.2449263363174785,1.5332109432873284,-33.26247569970822,6965603.655705849,39.905446610943685
six_plus,146,1066135.66,6737083.248074772,39.22614173725834,1.2449263363174785,1.5332109432873284,-33.26247569970822,6965603.655705849,39.905446610943685
perfect7,19,1066135.66,7188048.585610688,40.54579345355004,0.9187526330399644,1.317196563963775,-40.682576633789,6330414.029941337,37.958578571878625
univest_old,63,1066135.66,8236770.185397446,43.32286704741492,1.2942118017274482,1.869535089826693,-40.284909913172896,6889903.139329037,39.682898693493655
stocks_current,80,1066135.66,7546909.574238443,41.538625850347636,1.2601181411067437,1.7833959989896762,-40.33269397612309,6462704.896387365,38.379604578178935
nifty50,,1066135.66,1639041.0698431612,9.805631630471979,0.38338139621898826,0.4680185343885733,-38.441296209325905,,
nifty_midcap,,1066135.66,2397327.747054945,17.982578465200145,0.6110756620932278,0.7205581102549402,-49.448488437609264,,
