List,Stocks,Invested,Timed ₹,Timed XIRR%,Sharpe,Sortino,MaxDD%,SIP ₹,SIP XIRR%
top10,10,1220000.0,3913399.300956531,49.126636530463486,1.537698163388369,2.0834229026004585,-25.717287579951165,3547991.9434134145,44.73584182009757
top30,29,1220000.0,4035013.287766407,50.509764686016545,1.5050339089233893,1.9114621267935683,-25.64989461349883,3840807.1726966146,48.283332432177964
top50,46,1220000.0,3486852.442473038,43.963367620186844,1.3986062671996649,1.7940808843189922,-26.932971590292798,3526988.6555435406,44.471780657640004
top100,90,1220000.0,3361127.868871895,42.33731119614988,1.4596145481851335,1.9133504874029235,-26.500333142535,3286459.4929685495,41.34645122553384
strong_buy,79,1220000.0,3156505.7714413395,39.574318764263765,1.4086559031762285,1.7996718695058542,-24.167236755941943,3267468.147459141,41.09131717156864
buy_plus,150,1220000.0,3443302.345351157,43.40594850928559,1.8221343340267282,2.973418481673863,-27.23632363170969,3446642.6409321707,43.44891810253461
six_plus,150,1220000.0,3443302.345351157,43.40594850928559,1.8221343340267282,2.973418481673863,-27.23632363170969,3446642.6409321707,43.44891810253461
perfect7,17,1220000.0,4772262.614008133,58.203361099708374,1.5826964668770904,2.301761161233873,-22.147435221712435,3835610.2557840166,48.22243525750542
univest_old,63,1220000.0,2774292.6055933596,33.96583185773997,1.166842417705568,1.5739970295341752,-32.262967420391625,3313077.824862764,41.70190114364378
stocks_current,98,1220000.0,2866692.9450006704,35.38095589613143,1.2360975243061876,1.615666306462949,-24.940368631624857,3222737.150674746,40.485260000930786
nifty50,,1220000.0,1411889.9894871023,5.868359831121411,0.24118551041416106,0.3308115581754675,-17.270351127772372,,
nifty_midcap,,1220000.0,1865588.5178618785,17.23973535436932,0.7205558067608576,0.8830812806993431,-23.123896158443376,,
