List,Stocks,Invested,Timed ₹,Timed XIRR%,Sharpe,Sortino,MaxDD%,SIP ₹,SIP XIRR%
top10,10,2524316.2199999983,25238478.04222194,29.442910893306777,0.7114315012555278,1.062279255496502,-66.16443354210485,23815661.70646116,28.79065149285373
top30,29,2524316.2199999983,28370276.985523183,30.75369736899944,0.9582396210856544,1.2557519263580894,-49.79965490924775,26862632.727968965,30.142419080617767
top50,46,2524316.2199999983,24813593.651800722,29.2522132194388,0.9567964229370158,1.223506032387285,-50.955715542345516,23292993.18089595,28.540816464422203
top100,90,2524316.2199999983,32055595.85309235,32.11739218356735,1.1194221955841341,1.4113858840099025,-56.802182857544715,29220767.68511071,31.08393030680468
strong_buy,79,2524316.2199999983,29841957.465151742,31.3189410189945,1.0413304461238777,1.3198299932333486,-56.4365398926409,27503908.211175468,30.406645028188027
buy_plus,150,2524316.2199999983,44235855.478398904,35.69718776179767,1.0397296180119269,1.5106306503156046,-58.75554687359974,31046527.715565998,31.76067386845332
six_plus,150,2524316.2199999983,44235855.478398904,35.69718776179767,1.0397296180119269,1.5106306503156046,-58.75554687359974,31046527.715565998,31.76067386845332
perfect7,17,2524316.2199999983,34908927.85754034,33.06712836161533,1.1736439142705977,1.5568883928490924,-45.75356971173931,35421076.483799055,33.22917804474013
univest_old,63,2524316.2199999983,25377081.332401425,29.50439990291136,0.7248792327843648,0.9629073625493992,-68.86896070562804,23540926.065364704,28.660047719962943
stocks_current,98,2524316.2199999983,22540250.32167174,28.17055176475694,0.8341167467330615,1.0614429615519514,-59.526217474692544,21678358.44313925,27.730412839363243
nifty50,,2524316.2199999983,5091579.584747463,10.270416517779138,0.2977389893257609,0.3917742166752721,-38.440408313994936,,
nifty_midcap,,2524316.2199999983,8183156.258952938,16.330273053026147,0.48353291146654315,0.5987877533588245,-49.43093146806098,,
