List,Stocks,Invested,Timed ₹,Timed XIRR%,Sharpe,Sortino,MaxDD%,SIP ₹,SIP XIRR%
top10,10,260000.0,283793.78184295155,18.7836065964057,0.38194279708621975,0.5992494963888461,-16.68517765030721,286435.22894946754,20.927662586110454
top30,29,260000.0,294883.20179562486,27.86001854003971,0.6431847846615354,1.1150017503025813,-17.7015998511738,288831.56539896346,22.882527052244
top50,46,260000.0,306660.35906729696,37.70965826175049,1.2833163815367117,2.5133139413791064,-16.539494834754052,289814.3165541156,23.686892079780435
top100,90,260000.0,293052.3774076584,26.34805649772933,1.157431357681467,1.9596796695138812,-21.620511098464643,287195.52824972,21.546892145145115
strong_buy,79,260000.0,295851.2214794163,28.66156450715321,1.22599014976174,2.083224151353633,-21.376995225722077,285886.7863260839,20.48156092720908
buy_plus,150,260000.0,291331.374762918,24.93160059189108,1.0851915920725133,1.7418366984893396,-21.651981154801227,284650.590454542,19.477832182108646
six_plus,150,260000.0,291331.374762918,24.93160059189108,1.0851915920725133,1.7418366984893396,-21.651981154801227,284650.590454542,19.477832182108646
perfect7,17,260000.0,260906.6913904321,0.6976477256594243,-0.18008904011984397,-0.31596339337526336,-27.62087982627085,283696.6655776385,18.70499419025937
univest_old,63,260000.0,259687.2928569627,-0.2402655699541164,-0.5573767242632907,-0.8848885615461961,-21.386392946674267,276679.3121926333,13.065893642279262
stocks_current,98,260000.0,262293.9586580616,1.767938553127575,0.0839942770551635,0.15154242268696902,-24.54241194742727,280888.39656889596,16.438489666823227
nifty50,,260000.0,246518.40589210964,-10.207366784564172,-0.7512832573171822,-1.0620747953368506,-15.191928604387137,,
nifty_midcap,,260000.0,270870.6504272193,8.474947459970142,0.08200469073935605,0.1119998790166352,-14.295550104921903,,
