List,Stocks,Invested,Timed ₹,Timed XIRR%,Sharpe,Sortino,MaxDD%,SIP ₹,SIP XIRR%
top10,10,740000.0,892409.5430190735,12.861504650846816,0.4353625756376352,0.6474691094000421,-25.335672966530275,799287.8061008212,5.200876936775957
top30,29,740000.0,1073244.3007483748,26.305845062387146,0.6920952230800681,0.9926699483121224,-28.263096522136934,1206791.5864321862,35.27519470477794
top50,47,740000.0,1172267.5631385136,33.02358841101061,1.2945473775106693,1.870025136134745,-25.000267699800894,1174878.7720368758,33.19544222334
top100,90,740000.0,1076119.6448947447,26.506702910768336,1.399220934907233,2.0646813407847584,-18.562086446476762,1105658.9326222828,28.54941939793092
strong_buy,76,740000.0,1101612.1503935438,28.2717776124378,1.4376862194439486,2.1248500421207273,-17.643081776248057,1119046.8457689723,29.463062140694536
buy_plus,146,740000.0,889817.2674440787,12.655825330640585,0.584581201528806,0.7629950944430743,-23.763620980959242,1122993.7587880443,29.73100107457182
six_plus,146,740000.0,889817.2674440787,12.655825330640585,0.584581201528806,0.7629950944430743,-23.763620980959242,1122993.7587880443,29.73100107457182
perfect7,19,740000.0,913648.6239790348,14.531534002307778,0.3946815488244013,0.5435165484214841,-20.631605262309023,1188590.954430454,34.09368214969186
univest_old,63,740000.0,853127.9552607159,9.699938003827116,0.01109593847124311,0.01634211978307302,-25.07133113040502,1065089.3155432441,25.734184499237102
stocks_current,80,740000.0,872332.0229735769,11.257704811600627,0.0529339067430484,0.0776856894916026,-26.048579041073506,1066326.166160207,25.821077628442303
nifty50,,740000.0,756001.0049490188,1.4311510384370512,0.2258036627058973,0.30542828910415865,-15.779129253835645,,
nifty_midcap,,740000.0,883259.6496672266,12.138149632409245,0.8795653276107376,1.061290212206616,-21.2667829141509,,
