year,month,trades,stocks,total_deployed
2010,2,4,"CEMPRO, HINDCOPPER, RSYSTEMS, TIMETECHNO",6600
2010,3,4,"CEMPRO, HINDCOPPER, RSYSTEMS, TIMETECHNO",3213
2010,4,4,"CEMPRO, HINDCOPPER, RSYSTEMS, TIMETECHNO",3199
2010,5,4,"CEMPRO, HINDCOPPER, RSYSTEMS, TIMETECHNO",3233
2010,6,4,"CEMPRO, HINDCOPPER, RSYSTEMS, TIMETECHNO",3559
2010,7,4,"CEMPRO, HINDCOPPER, RSYSTEMS, TIMETECHNO",3030
2010,8,4,"CEMPRO, HINDCOPPER, RSYSTEMS, TIMETECHNO",3488
2010,9,4,"CEMPRO, HINDCOPPER, RSYSTEMS, TIMETECHNO",3469
2010,10,4,"CEMPRO, HINDCOPPER, RSYSTEMS, TIMETECHNO",3207
2010,11,1,HINDCOPPER,1385
2010,12,3,"CEMPRO, HINDCOPPER",31616
2011,2,3,"CEMPRO, HINDCOPPER, TIMETECHNO",12100
2011,3,1,CEMPRO,6050
2011,5,2,"RSYSTEMS, TIMETECHNO",4464
2011,6,3,"CEMPRO, RSYSTEMS",13686
2011,7,1,RSYSTEMS,836
2011,8,1,RSYSTEMS,11264
2011,9,1,HINDCOPPER,6050
2011,10,1,HINDCOPPER,6050
2011,11,1,OBEROIRLTY,6050
2011,12,1,OBEROIRLTY,6050
2012,1,1,CEMPRO,6655
2012,3,1,TIMETECHNO,13310
2012,5,1,TIMETECHNO,592
2012,6,1,TIMETECHNO,4556
2012,7,3,"OBEROIRLTY, TIMETECHNO",17844
2012,8,2,"OBEROIRLTY, TIMETECHNO",9208
2012,9,1,TIMETECHNO,7730
2012,12,1,HINDCOPPER,4870
2013,1,1,HINDCOPPER,22415
2013,3,1,GRAVITA,3660
2013,4,2,"CEMPRO, TIMETECHNO",18301
2013,5,1,TIMETECHNO,7320
2013,6,1,TIMETECHNO,7320
2013,7,1,OBEROIRLTY,7320
2013,8,1,OBEROIRLTY,7320
2013,9,1,CEMPRO,7320
2013,10,3,"GRAVITA, HINDCOPPER, OBEROIRLTY",4114
2013,12,2,"HINDCOPPER, OBEROIRLTY",7844
2014,1,3,"CEMPRO, HINDCOPPER",14977
2014,3,4,"CEMPRO, HINDCOPPER, OBEROIRLTY",19185
2014,5,3,"GRAVITA, HINDCOPPER, OBEROIRLTY",8053
2014,6,2,"GRAVITA, OBEROIRLTY",5368
2014,7,4,"GRAVITA, HINDCOPPER, OBEROIRLTY, TIMETECHNO",11086
2014,8,3,"GRAVITA, HINDCOPPER, OBEROIRLTY",7878
2014,9,4,"GRAVITA, HINDCOPPER, OBEROIRLTY, TIMETECHNO",10620
2014,10,2,"HINDCOPPER, OBEROIRLTY",13363
2014,12,1,HINDCOPPER,16105
2015,1,2,"GRAVITA, HINDCOPPER",8858
